n;random;almost_sort;sorted_rev
65500;22182;16318;26137
65600;22528;16446;17256
65700;22447;16719;17286
65800;23123;16924;17003
65900;22533;16635;17213
66000;22945;16816;17420
66100;23007;16841;17666
66200;22974;17120;17584
66300;22715;17113;17665
66400;23119;17105;17660
66500;23212;16630;17387
66600;22828;16835;17291
66700;22975;16883;17261
66800;23000;16816;17155
66900;22827;16511;17116
67000;22742;16681;17093
67100;22648;16677;17239
67200;22745;16967;17210
67300;22961;16918;17458
67400;23051;16898;17442
67500;23264;17077;17741
67600;23008;16991;17505
67700;22959;16792;17766
67800;23423;17201;17746
67900;23498;17078;17637
68000;23410;16963;17766
68100;23692;17374;17613
68200;23316;17252;17606
68300;23137;17013;17526
68400;23212;16997;17525
68500;23079;16946;17637
68600;23318;17031;17605
68700;23330;17019;17584
68800;23273;17053;17721
68900;23466;17569;18449
69000;23695;17089;17921
69100;23809;17293;17947
69200;23907;17488;18014
69300;23712;17357;18118
69400;23917;17350;17880
69500;23848;17494;17967
69600;24064;17560;18087
69700;23878;17684;18105
69800;24087;17718;18092
69900;23828;17497;18093
70000;23951;17686;18165
70100;23722;17317;18074
70200;23912;17545;17981
70300;23912;17507;18309
70400;24217;17700;18165
70500;24160;17650;18294
70600;24519;18021;18148
70700;24139;17879;18228
70800;23797;17473;18049
70900;23855;17385;17975
71000;23847;17428;18004
71100;23910;17472;18081
71200;24307;18224;18906
71300;25774;18731;18719
71400;24808;18523;18961
71500;24908;18535;19422
71600;25156;18444;18879
71700;25133;18275;19255
71800;25271;18221;18953
71900;25049;18392;18899
72000;24966;18284;18919
72100;24961;18332;18587
72200;24476;18037;18713
72300;24307;17860;18427
72400;24337;18091;18440
72500;24605;17826;18416
72600;24389;17837;18446
72700;24405;17893;18484
72800;24766;18068;18522
72900;24540;17981;18557
73000;25158;18502;19110
73100;25293;18243;18941
73200;24830;18209;18811
73300;25093;18273;18862
73400;25075;18105;18942
73500;25165;18439;18874
73600;25126;18244;19003
73700;25082;18316;18907
73800;25307;18449;18851
73900;25694;18591;19523
74000;25350;18351;19071
74100;25201;18486;19035
74200;25290;18473;19058
74300;25422;18498;19541
74400;25337;18493;19203
74500;25601;18569;19343
74600;25391;18746;19271
74700;25624;18396;19207
74800;25427;18393;19004
74900;25235;18305;19023
75000;25170;18430;19248
75100;25578;18496;19220
75200;25366;18594;19317
75300;25461;18576;19602
75400;25434;18584;19790
75500;25691;18740;19388
75600;25615;18602;19235
75700;25537;18527;19320
75800;25489;18593;19257
75900;25643;18957;19288
76000;25633;18598;19320
76100;25584;19139;19414
76200;25717;18671;19345
76300;25630;18634;19375
76400;25687;18697;19611
76500;25899;18822;19629
76600;25942;19014;19749
76700;26417;19261;19932
76800;26580;19246;20081
76900;26452;19230;19993
