n	random	almost_sort	sorted_rev
70400	33556	27947	28281	
70500	33753	27993	28227	
70600	33619	28054	28210	
70700	33620	28082	28300	
70800	33930	28148	28340	
70900	33842	28114	28310	
71000	34030	28457	28536	
71100	33956	28262	28438	
71200	33966	28205	28534	
71300	34119	28314	28538	
71400	34023	28314	28566	
71500	34147	28361	28925	
71600	34261	28482	28569	
71700	34261	28508	28692	
71800	34326	28631	28858	
71900	34347	28587	28699	
72000	34358	28552	28858	
72100	34771	28799	28883	
72200	34613	28666	28895	
72300	34563	28718	29199	
72400	34700	28731	29025	
72500	34639	28946	29008	
72600	34725	29106	29115	
72700	34780	28793	29047	
72800	34793	28804	29157	
72900	34889	28949	29139	
73000	34889	29087	29264	
73100	34991	29154	29463	
73200	35308	29134	29329	
73300	35072	29217	29455	
73400	35012	29237	29426	
73500	35238	29253	29491	
73600	35222	29332	29483	
73700	35608	29319	29539	
73800	35357	29349	29543	
73900	35434	29578	29734	
74000	35500	29379	29682	
74100	35523	29513	29652	
74200	36041	29982	29843	
74300	35619	29639	29792	
74400	35734	29660	29896	
74500	35714	29787	29964	
74600	35829	29849	30011	
74700	35947	30121	30097	
74800	35839	29817	30092	
74900	36112	29850	30111	
75000	36070	29863	30308	
75100	35965	29896	30212	
75200	36017	29985	30421	
75300	36239	29895	30323	
75400	36043	30008	30190	
75500	36302	30034	30351	
75600	36752	30131	30281	
75700	36276	30164	30624	
75800	36349	30185	30460	
75900	36486	30212	30570	
76000	36418	30243	30527	
76100	36453	30187	30719	
76200	36530	30289	30784	
76300	36787	30363	30651	
76400	36468	30254	30563	
76500	36522	30358	30728	
76600	36588	30565	30715	
76700	36793	30603	30933	
76800	36887	30498	30808	
76900	36808	30630	30976	
77000	36938	30625	30815	
77100	36958	30702	31035	
77200	37044	30695	31230	
77300	37276	30956	31044	
77400	37125	30891	31159	
77500	37102	30805	31094	
77600	37225	30857	31261	
77700	37249	30953	31508	
77800	37487	30848	31251	
77900	37283	31027	31256	
78000	37413	31122	31386	
78100	37333	31044	31233	
78200	37549	31197	31483	
78300	37614	31087	31510	
78400	37892	31355	31366	
78500	37613	31135	31610	
78600	37602	31199	31395	
78700	37770	31252	31915	
78800	37837	31328	31596	
78900	37903	31394	31743	
79000	37868	31403	31686	
79100	37895	31512	31786	
79200	37918	31638	31953	
79300	38001	31478	31733	
79400	38101	31628	31851	
79500	38035	31645	32029	
79600	38209	31882	32081	
79700	38352	32011	32139	
79800	38407	31802	32105	
79900	38434	31852	32113	
80000	38522	32043	32111	
80100	38384	31899	32120	
80200	38567	31926	32368	
80300	38564	31794	32170	
80400	38567	31974	32182	
80500	38545	32021	32338	
80600	38613	32045	32360	
80700	39072	31997	32290	
80800	38613	32071	32423	
80900	38796	32209	32463	
81000	38808	32281	32556	
81100	38824	32275	32621	
81200	39258	32119	32484	
81300	38973	32283	32588	
81400	39030	32272	32478	
81500	38882	32184	32491	
81600	39170	32552	32864	
81700	39133	32468	32572	
81800	39268	32507	32645	
81900	39292	32620	32799	
82000	39278	32449	33068	
82100	39335	33183	32920	
82200	39547	32806	32884	
82300	39519	32592	32883	
82400	39544	32648	32938	
82500	39589	32703	33261	
82600	39911	33024	33238	
82700	39539	32925	33106	
82800	39834	33077	33279	
82900	39812	32793	33384	
83000	39901	33086	33517	
83100	40120	32916	33194	
83200	39818	32865	33502	
83300	40097	33269	33487	
83400	40036	33243	33579	
83500	40071	33279	33567	
83600	40089	33212	33664	
83700	40223	33337	33808	
83800	40375	33342	33749	
83900	40237	33381	33801	
84000	40648	33319	33899	
84100	40337	33279	33678	
84200	40631	33450	33876	
84300	40623	33682	34135	
84400	40635	34069	34035	
84500	40662	33772	34137	
84600	40886	33850	34297	
84700	40889	33799	34143	
84800	40789	33863	34192	
84900	41318	33827	34301	
85000	40981	33893	34137	
85100	40787	33886	34227	
85200	41033	33762	34344	
85300	41000	34008	34580	
85400	41018	34101	34313	
85500	41126	34013	34574	
85600	41216	34171	34612	
85700	41275	34184	34633	
85800	41636	34199	34607	
85900	41449	34223	34662	
86000	41401	34270	34692	
86100	41479	34273	34741	
86200	41562	34594	35026	
86300	41653	34431	34804	
86400	41686	34464	34877	
86500	41653	34486	34960	
86600	41776	34576	35377	
86700	42293	34660	35042	
86800	42000	34769	35156	
86900	41911	34536	35105	
87000	41841	34479	34893	
87100	41911	35096	35203	
87200	41870	34674	35099	
87300	42780	34897	35240	
87400	41975	34832	35249	
87500	42200	34968	35916	
87600	42484	34872	35238	
87700	42414	34863	35450	
87800	42278	35022	35485	
87900	42386	34899	35398	
88000	42729	35069	35562	
88100	42513	35172	35536	
88200	42903	35847	35676	
88300	42645	35069	36111	
88400	45383	37798	37032	
88500	44016	36566	37008	
88600	44317	36622	37025	
88700	44251	36617	37068	
88800	44471	36721	36361	
88900	42972	35628	36032	
89000	43249	35602	36065	
89100	43239	35583	36152	
89200	43069	35574	35740	
89300	43649	35637	35974	
89400	43015	35771	36034	
89500	43125	35562	36107	
89600	43211	35904	35949	
89700	43437	35844	36218	
89800	43147	35814	36341	
89900	43457	35780	36199	
90000	43482	35956	36369	
90100	43474	36202	36511	
90200	43554	36014	36383	
90300	43510	36096	36286	
90400	43614	36124	36317	
90500	43964	36563	36897	
90600	43820	36178	36461	
90700	43752	36169	36673	
90800	43854	36182	36692	
90900	43691	36067	36738	
91000	44097	36342	36799	
91100	43990	36340	36695	
91200	43848	36564	36841	
91300	44168	36368	36715	
91400	44299	36771	36787	
91500	44311	37139	38218	
91600	44355	36334	36872	
91700	44279	36591	36923	
91800	44479	37100	37111	
91900	44441	36803	37046	
92000	44227	36616	37107	
92100	44493	36643	37216	
92200	44533	37039	37418	
92300	44723	36836	37315	
92400	44620	36925	37279	
92500	44701	36896	37358	
92600	44831	36823	37689	
92700	44736	37021	37273	
92800	44630	36877	37481	
92900	44864	37009	37717	
93000	45098	37343	37727	
93100	45193	37326	37732	
93200	45313	37343	37858	
93300	45036	37366	37637	
93400	45136	37459	37746	
93500	45409	37383	37762	
93600	45099	37406	37891	
93700	45313	37308	37724	
93800	45211	37447	37946	
93900	45762	37513	37913	
94000	45315	37477	38121	
94100	45515	37576	38120	
94200	45479	37602	38166	
94300	45817	37865	38171	
94400	45580	37626	38148	
94500	45708	37766	38198	
94600	46688	40990	39828	
94700	46024	38018	38307	
94800	45868	37885	38217	
94900	46007	37823	38291	
95000	45945	37914	38357	
95100	46118	38091	38422	
95200	45915	37992	38528	
95300	45957	38055	38624	
95400	46112	37968	38580	
95500	46222	38426	38669	
95600	46281	38208	38576	
95700	46138	38035	38684	
95800	46161	38169	38552	
95900	46601	38463	38743	
96000	46445	38939	38814	
96100	46533	38358	38869	
96200	46484	38290	38849	
96300	46702	38571	39006	
96400	46460	38327	38987	
96500	46709	38446	39063	
96600	46567	38478	39119	
96700	46884	38793	39207	
96800	46907	38656	39114	
96900	46896	38810	39407	
97000	47193	38804	39243	
97100	47504	39114	39515	
97200	47237	38908	39330	
97300	47138	38780	39326	
97400	47028	38862	39312	
97500	47586	39038	39423	
97600	47789	38933	39454	
97700	47179	39212	39537	
97800	47291	39155	39590	
97900	47660	39399	39567	
98000	47272	39866	39762	
98100	47459	39191	39553	
98200	47416	39305	39559	
98300	47770	39260	39763	
98400	47486	39501	40590	
98500	47845	39581	39867	
98600	47697	39348	40166	
98700	47945	39648	39966	
98800	47813	39770	40210	
98900	47839	39722	40056	
99000	47967	39812	40458	
99100	48028	39964	40193	
99200	48095	39823	40250	
99300	48204	39771	40111	
99400	48273	40105	40405	
99500	48273	40015	40241	
99600	48401	40099	40210	
99700	48292	40081	40517	
99800	48384	40404	40444	
99900	48562	40037	40546	
100000	48661	40122	40590	
